time;ax;ay;az;aT
1,664000;-0,0682;-0,0033;0,0091;0,069
1,669000;-0,1030;0,0392;-0,0124;0,111
1,672000;-0,0783;0,0340;-0,0123;0,086
1,678000;-0,0086;0,0003;0,0092;0,013
1,679000;0,0129;0,0264;-0,0099;0,031
1,684000;-0,0109;0,0144;0,0163;0,024
1,688000;-0,0130;-0,0450;0,0114;0,048
1,695000;-0,0271;-0,0303;0,0184;0,045
1,696000;-0,0173;-0,0396;0,0064;0,044
1,699000;-0,0504;-0,0822;-0,0079;0,097
1,704000;-0,0334;-0,0437;0,0230;0,060
1,707000;-0,0236;-0,0221;-0,0034;0,032
1,712000;-0,0564;-0,0221;-0,0081;0,061
1,715000;-0,0226;-0,0340;-0,0128;0,043
1,719000;-0,0603;-0,0577;-0,0175;0,085
1,723000;-0,0479;-0,0289;0,0063;0,056
1,729000;-0,0046;-0,0526;0,0110;0,054
1,731000;0,0859;-0,0880;0,0180;0,124
1,735000;0,1825;-0,0283;-0,0202;0,186
1,739000;0,1170;-0,0213;-0,0320;0,123
1,746000;0,1090;0,0047;0,0133;0,110
1,747000;-0,0296;-0,0122;-0,0058;0,033
1,752000;-0,0103;-0,0550;-0,0058;0,056
1,755000;-0,0980;-0,0689;0,0417;0,127
1,762000;-0,0498;-0,0352;0,0057;0,061
1,763000;-0,0115;-0,0375;0,0057;0,040
1,767000;0,0383;-0,0493;0,0056;0,063
1,771000;0,0308;-0,0563;-0,0016;0,064
1,780000;0,0374;-0,0110;-0,0040;0,039
1,780000;0,0014;0,0007;0,0292;0,029
1,783000;-0,0249;-0,0279;0,0100;0,039
1,787000;-0,0083;0,0055;-0,0210;0,023
1,792000;-0,0299;0,0505;0,0290;0,065
1,797000;0,0604;0,0382;-0,0211;0,075
1,799000;0,0193;0,0521;-0,0090;0,056
1,803000;-0,0144;0,0802;-0,0445;0,093
1,807000;-0,0358;0,0369;-0,0346;0,062
1,813000;0,0070;-0,0011;-0,0414;0,042
1,815000;-0,0123;-0,0033;-0,0078;0,015
1,819000;0,0184;-0,0316;0,0137;0,039
1,823000;-0,0128;0,0165;-0,0101;0,023
1,827000;0,0252;-0,0024;-0,0100;0,027
1,830000;0,0295;-0,0116;0,0092;0,033
1,835000;0,0268;-0,0233;0,0233;0,042
1,838000;0,0454;-0,0085;0,0422;0,063
1,843000;0,0496;-0,0486;0,0039;0,070
1,846000;-0,0079;-0,0360;0,0039;0,037
1,851000;-0,0292;-0,0260;0,0229;0,045
1,854000;0,0041;-0,0113;-0,0413;0,043
1,860000;-0,0078;0,0127;-0,0006;0,015
1,862000;-0,0101;0,0342;-0,0124;0,038
1,866000;-0,0480;0,0247;-0,0384;0,066
1,870000;-0,0452;0,0415;-0,0024;0,061
1,874000;-0,0282;0,0105;-0,0284;0,041
1,878000;-0,0422;0,0202;-0,0163;0,050
1,883000;-0,0798;0,0489;0,0148;0,095
1,886000;-0,0079;-0,0177;-0,0019;0,019
1,890000;-0,0316;0,0160;0,0290;0,046
1,894000;-0,0029;-0,0480;0,0336;0,059
1,898000;0,0256;0,0000;0,0475;0,054
1,902000;0,0302;-0,0261;-0,0051;0,040
1,906000;0,0158;-0,0994;0,0045;0,101
1,912000;-0,0033;-0,1151;0,0044;0,115
1,914000;0,0394;-0,0619;0,0281;0,079
1,919000;-0,0084;-0,0567;0,0137;0,059
1,922000;0,0345;-0,0349;-0,0363;0,061
1,927000;-0,0204;-0,0133;-0,0123;0,027
1,930000;-0,0203;0,0321;-0,0074;0,039
1,934000;-0,0107;0,0225;-0,0097;0,027
1,937000;-0,0440;0,0559;0,0142;0,072
1,941000;-0,0580;0,0628;-0,0143;0,087
1,946000;-0,0243;0,0412;-0,0047;0,048
1,950000;-0,0147;0,0103;0,0073;0,019
1,954000;-0,0218;0,0366;-0,0236;0,049
1,957000;-0,0098;0,0201;-0,0233;0,032
1,962000;-0,0005;0,0202;0,0268;0,034
1,966000;0,0325;0,0442;0,0029;0,055
1,969000;0,0462;-0,0081;0,0528;0,071
1,973000;0,0360;-0,0126;0,0192;0,043
1,978000;0,0569;-0,0006;0,0309;0,065
1,982000;-0,0268;-0,0197;-0,0169;0,037
1,986000;-0,1575;-0,0170;-0,0167;0,159
1,989000;-0,0804;0,0023;0,0144;0,082
1,994000;-0,0064;0,0001;0,0024;0,007
1,997000;0,0907;0,0194;0,0024;0,093
2,001000;0,0375;0,0076;-0,0355;0,052
2,005000;-0,0200;-0,0422;-0,0257;0,053
2,010000;-0,0888;-0,0702;0,0007;0,113
2,013000;-0,0123;0,0041;0,0244;0,028
2,017000;0,0233;-0,0576;0,0171;0,064
2,021000;0,0301;-0,0357;-0,0139;0,049
2,025000;0,0320;-0,0471;-0,0113;0,058
2,029000;-0,0373;-0,0299;-0,0160;0,050
2,033000;-0,0442;0,0133;-0,0182;0,050
2,037000;-0,0511;-0,0199;-0,0108;0,056
2,041000;0,0205;-0,0195;0,0296;0,041
2,046000;0,0606;-0,0002;0,0033;0,061
2,049000;0,0125;-0,0145;0,0057;0,020
2,053000;-0,0233;-0,0213;0,0056;0,032
2,057000;-0,0516;-0,0448;-0,0063;0,069
2,061000;0,0271;-0,0371;0,0342;0,057
2,065000;0,0078;-0,0011;0,0244;0,026
2,069000;0,0267;-0,0248;0,0337;0,050
2,072000;0,0123;-0,0340;0,0073;0,037
2,078000;-0,0447;-0,0148;-0,0022;0,047
2,081000;-0,0110;-0,0360;-0,0188;0,042
2,085000;0,0224;-0,0048;0,0264;0,035
2,089000;0,0078;0,0166;0,0215;0,028
2,094000;0,0029;0,0094;-0,0119;0,015
2,097000;-0,0161;0,0236;0,0190;0,034
2,100000;-0,0041;0,0235;-0,0310;0,039
2,104000;-0,0350;-0,0241;0,0002;0,042
2,109000;0,0127;0,0095;-0,0212;0,026
2,113000;0,0505;0,0238;0,0146;0,058
2,116000;0,0406;0,0166;-0,0068;0,044
2,120000;-0,0143;0,0617;-0,0329;0,071
2,124000;-0,0664;0,0212;-0,0207;0,073
2,129000;-0,0231;-0,0048;-0,0133;0,027
2,133000;0,0175;0,0312;0,0272;0,045
2,136000;-0,0135;0,0028;0,0460;0,048
2,140000;0,0412;-0,0279;0,0291;0,058
2,145000;0,0077;-0,0558;-0,0423;0,070
2,148000;-0,0090;-0,0359;-0,0847;0,092
2,153000;-0,0018;-0,0756;-0,0103;0,076
