time;gFx;gFy;gFz;TgF
1,703000;0,2885;0,9611;-0,0508;1,005
1,707000;0,2844;0,9577;-0,0555;1,001
1,711000;0,2844;0,9623;-0,0542;1,005
1,714000;0,2858;0,9596;-0,0447;1,002
1,718000;0,2853;0,9599;-0,0467;1,002
1,724000;0,2873;0,9621;-0,0484;1,005
1,727000;0,2888;0,9589;-0,0408;1,002
1,730000;0,2934;0,9574;-0,0415;1,002
1,734000;0,2924;0,9589;-0,0406;1,003
1,743000;0,2878;0,9560;-0,0313;0,999
1,744000;0,2905;0,9538;-0,0320;0,998
1,747000;0,2868;0,9579;-0,0291;1,000
1,750000;0,2866;0,9569;-0,0300;0,999
1,754000;0,2873;0,9567;-0,0286;0,999
1,758000;0,2885;0,9579;-0,0244;1,001
1,762000;0,2866;0,9565;-0,0281;0,999
1,766000;0,2875;0,9584;-0,0286;1,001
1,770000;0,2853;0,9555;-0,0337;0,998
1,774000;0,2832;0,9596;-0,0335;1,001
1,778000;0,2868;0,9582;-0,0413;1,001
1,782000;0,2868;0,9587;-0,0418;1,002
1,786000;0,2814;0,9577;-0,0428;0,999
1,791000;0,2861;0,9618;-0,0481;1,005
1,794000;0,2834;0,9584;-0,0481;1,001
1,798000;0,2878;0,9582;-0,0489;1,002
1,802000;0,2861;0,9572;-0,0506;1,000
1,808000;0,2866;0,9599;-0,0469;1,003
1,810000;0,2836;0,9594;-0,0462;1,002
1,814000;0,2849;0,9604;-0,0479;1,003
1,818000;0,2890;0,9545;-0,0435;0,998
1,822000;0,2893;0,9609;-0,0442;1,004
1,826000;0,2868;0,9577;-0,0401;1,001
1,830000;0,2895;0,9579;-0,0386;1,001
1,833000;0,2863;0,9618;-0,0347;1,004
1,837000;0,2873;0,9589;-0,0330;1,002
1,842000;0,2856;0,9606;-0,0362;1,003
1,846000;0,2853;0,9545;-0,0381;0,997
1,850000;0,2858;0,9635;-0,0381;1,006
1,853000;0,2897;0,9545;-0,0325;0,998
1,860000;0,2868;0,9572;-0,0369;1,000
1,863000;0,2946;0,9560;-0,0396;1,001
1,866000;0,2922;0,9587;-0,0388;1,003
1,869000;0,2907;0,9574;-0,0401;1,001
1,874000;0,2871;0,9594;-0,0403;1,002
1,877000;0,2841;0,9582;-0,0437;1,000
1,881000;0,2851;0,9604;-0,0420;1,003
1,885000;0,2878;0,9555;-0,0474;0,999
1,890000;0,2883;0,9621;-0,0454;1,005
1,893000;0,2834;0,9584;-0,0515;1,001
1,897000;0,2858;0,9601;-0,0481;1,003
1,901000;0,2871;0,9560;-0,0464;0,999
1,905000;0,2861;0,9550;-0,0489;0,998
1,909000;0,2897;0,9582;-0,0513;1,002
1,913000;0,2873;0,9604;-0,0493;1,004
1,917000;0,2885;0,9569;-0,0503;1,001
1,921000;0,2902;0,9572;-0,0545;1,002
1,925000;0,2897;0,9587;-0,0528;1,003
1,929000;0,2905;0,9604;-0,0481;1,004
1,933000;0,2897;0,9579;-0,0513;1,002
1,937000;0,2934;0,9582;-0,0462;1,003
1,941000;0,2863;0,9584;-0,0440;1,001
1,944000;0,2858;0,9587;-0,0459;1,001
1,949000;0,2875;0,9582;-0,0381;1,001
1,952000;0,2902;0,9582;-0,0359;1,002
1,958000;0,2846;0,9596;-0,0396;1,002
1,961000;0,2866;0,9587;-0,0352;1,001
1,965000;0,2900;0,9582;-0,0362;1,002
1,968000;0,2863;0,9574;-0,0327;1,000
1,973000;0,2858;0,9599;-0,0327;1,002
1,977000;0,2866;0,9555;-0,0364;0,998
1,981000;0,2912;0,9555;-0,0379;1,000
1,984000;0,2880;0,9567;-0,0376;1,000
1,988000;0,2897;0,9604;-0,0398;1,004
1,994000;0,2893;0,9567;-0,0401;1,000
1,996000;0,2915;0,9596;-0,0418;1,004
2,001000;0,2893;0,9584;-0,0418;1,002
2,004000;0,2954;0,9604;-0,0474;1,006
2,008000;0,2934;0,9572;-0,0481;1,002
2,012000;0,2973;0,9543;-0,0511;1,001
2,016000;0,2900;0,9628;-0,0542;1,007
2,020000;0,2888;0,9584;-0,0545;1,002
2,024000;0,2849;0,9552;-0,0486;0,998
2,028000;0,2824;0,9589;-0,0533;1,001
