time;gFx;gFy;gFz;TgF
3,143000;-0,1334;0,4661;0,8482;0,977
3,153000;-0,1261;0,4647;0,8243;0,955
3,169000;-0,1090;0,4744;0,8155;0,950
3,173000;-0,1046;0,4837;0,8277;0,964
3,226000;-0,1060;0,4842;0,8331;0,969
3,227000;-0,1080;0,4827;0,8419;0,976
3,228000;-0,1104;0,4808;0,8575;0,989
3,229000;-0,1270;0,4764;0,8712;1,001
3,230000;-0,1417;0,4622;0,8692;0,995
3,233000;-0,1593;0,4505;0,8560;0,980
3,243000;-0,1661;0,4485;0,8629;0,987
3,253000;-0,1603;0,4529;0,8741;0,997
3,271000;-0,1573;0,4569;0,8839;1,007
3,273000;-0,1539;0,4564;0,8878;1,010
3,327000;-0,1319;0,4627;0,8761;1,000
3,328000;-0,1178;0,4681;0,8658;0,991
3,329000;-0,1217;0,4774;0,8414;0,975
3,330000;-0,1207;0,4744;0,8223;0,957
3,330000;-0,1197;0,4720;0,8194;0,953
3,333000;-0,1178;0,4652;0,8424;0,969
3,343000;-0,1187;0,4598;0,8717;0,993
3,353000;-0,1261;0,4573;0,8888;1,007
3,371000;-0,1378;0,4578;0,8746;0,997
3,373000;-0,1353;0,4578;0,8385;0,965
3,426000;-0,1002;0,4857;0,8121;0,952
3,427000;-0,0679;0,5062;0,8116;0,959
3,428000;-0,0547;0,5057;0,8262;0,970
3,429000;-0,0577;0,4876;0,8355;0,969
3,430000;-0,0899;0,4700;0,8316;0,959
3,433000;-0,1290;0,4608;0,8399;0,967
3,442000;-0,1608;0,4388;0,8595;0,978
3,452000;-0,1847;0,4236;0,8648;0,981
3,471000;-0,1959;0,4173;0,8736;0,988
3,473000;-0,1871;0,4256;0,8795;0,995
3,526000;-0,1529;0,4432;0,8922;1,008
3,528000;-0,1212;0,4598;0,9108;1,027
3,530000;-0,1051;0,4735;0,9254;1,045
3,531000;-0,1051;0,4788;0,9323;1,053
3,532000;-0,1197;0,4793;0,9201;1,044
3,533000;-0,1309;0,4735;0,8893;1,016
3,543000;-0,1417;0,4686;0,8497;0,981
3,553000;-0,1505;0,4686;0,8131;0,950
3,573000;-0,1549;0,4730;0,8033;0,945
3,574000;-0,1417;0,4842;0,8306;0,972
3,614000;-0,1134;0,5003;0,8575;0,999
3,615000;-0,0958;0,5033;0,8815;1,020
3,616000;-0,0821;0,5013;0,8815;1,017
3,617000;-0,0855;0,4891;0,8526;0,987
3,622000;-0,1138;0,4813;0,8165;0,955
3,632000;-0,1314;0,4744;0,7925;0,933
3,643000;-0,1432;0,4700;0,7979;0,937
3,652000;-0,1432;0,4598;0,8096;0,942
3,671000;-0,1383;0,4534;0,8336;0,959
3,673000;-0,1344;0,4573;0,8663;0,989
3,729000;-0,1437;0,4573;0,8819;1,004
3,730000;-0,1529;0,4544;0,8903;1,011
3,730000;-0,1671;0,4510;0,8961;1,017
3,731000;-0,1661;0,4529;0,8912;1,013
3,731000;-0,1622;0,4559;0,8854;1,009
3,733000;-0,1456;0,4569;0,8780;1,000
3,743000;-0,1256;0,4671;0,8614;0,988
3,753000;-0,1046;0,4764;0,8497;0,980
3,771000;-0,0972;0,4842;0,8477;0,981
3,773000;-0,1036;0,4847;0,8482;0,982
3,825000;-0,1114;0,4818;0,8409;0,976
3,826000;-0,1241;0,4813;0,8350;0,972
3,827000;-0,1285;0,4827;0,8297;0,968
3,828000;-0,1158;0,4774;0,8253;0,960
3,828000;-0,0972;0,4852;0,8380;0,973
3,833000;-0,0914;0,4871;0,8556;0,989
3,843000;-0,0943;0,4881;0,8560;0,990
3,853000;-0,0948;0,4886;0,8355;0,973
3,871000;-0,1192;0,4837;0,8204;0,960
3,873000;-0,1358;0,4788;0,8174;0,957
3,927000;-0,1461;0,4725;0,8326;0,968
3,928000;-0,1353;0,4715;0,8365;0,970
3,929000;-0,1153;0,4827;0,8429;0,978
3,930000;-0,1002;0,4925;0,8473;0,985
3,930000;-0,0899;0,5008;0,8438;0,985
3,933000;-0,0870;0,5082;0,8487;0,993
3,943000;-0,0880;0,5033;0,8551;0,996
3,953000;-0,0933;0,4867;0,8761;1,007
3,971000;-0,1046;0,4754;0,8873;1,012
3,973000;-0,1236;0,4588;0,8937;1,012
4,015000;-0,1456;0,4485;0,8912;1,008
4,016000;-0,1515;0,4485;0,8683;0,989
4,017000;-0,1456;0,4573;0,8238;0,953
4,017000;-0,1251;0,4803;0,7842;0,928
4,023000;-0,0870;0,5003;0,7622;0,916
4,033000;-0,0533;0,5174;0,7637;0,924
4,043000;-0,0450;0,5262;0,7632;0,928
4,053000;-0,0479;0,5228;0,7652;0,928
4,072000;-0,0621;0,5170;0,7740;0,933
4,073000;-0,0704;0,5082;0,7769;0,931
4,115000;-0,0630;0,5057;0,7832;0,934
4,116000;-0,0498;0,5057;0,7891;0,939
4,116000;-0,0425;0,5091;0,7686;0,923
4,117000;-0,0425;0,5174;0,7583;0,919
4,123000;-0,0225;0,5243;0,7671;0,929
4,133000;0,0103;0,5321;0,7798;0,944
4,143000;0,0283;0,5414;0,7725;0,944
4,153000;0,0283;0,5438;0,7583;0,934
4,171000;0,0151;0,5375;0,7417;0,916
4,173000;-0,0093;0,5370;0,7271;0,904
4,214000;-0,0283;0,5341;0,7163;0,894
4,215000;-0,0366;0,5365;0,7187;0,898
4,216000;-0,0332;0,5487;0,7476;0,928
4,216000;-0,0191;0,5590;0,8082;0,983
4,223000;-0,0103;0,5643;0,8648;1,033
4,233000;-0,0147;0,5551;0,8946;1,053
4,243000;-0,0362;0,5458;0,8849;1,040
4,253000;-0,0674;0,5414;0,8433;1,004
4,270000;-0,0992;0,5404;0,7989;0,970
4,273000;-0,1002;0,5575;0,7608;0,948
4,327000;-0,0713;0,5839;0,7368;0,943
4,328000;-0,0362;0,6073;0,7266;0,948
4,329000;-0,0044;0,6161;0,7280;0,954
4,330000;0,0137;0,6220;0,7329;0,961
4,331000;0,0107;0,6186;0,7354;0,961
4,332000;-0,0171;0,6132;0,7256;0,950
4,343000;-0,0366;0,6025;0,7183;0,938
4,352000;-0,0244;0,6064;0,7334;0,952
4,372000;0,0098;0,6117;0,7730;0,986
4,373000;0,0396;0,6142;0,8067;1,015
4,428000;0,0469;0,6108;0,8248;1,027
4,429000;0,0239;0,6000;0,8194;1,016
4,430000;-0,0098;0,5922;0,7925;0,989
4,431000;-0,0425;0,5790;0,7701;0,964
4,431000;-0,0645;0,5761;0,7583;0,955
4,432000;-0,0718;0,5761;0,7569;0,954
4,443000;-0,0454;0,5863;0,7608;0,962
4,453000;-0,0073;0,5995;0,7784;0,983
4,472000;-0,0151;0,6122;0,8008;1,008
4,473000;-0,0440;0,6083;0,8189;1,021
4,506000;-0,0684;0,5888;0,8321;1,022
4,507000;-0,0801;0,5727;0,8473;1,026
4,508000;-0,0899;0,5580;0,8619;1,031
4,517000;-0,0792;0,5477;0,8556;1,019
4,522000;-0,0542;0,5458;0,8429;1,006
4,532000;-0,0210;0,5526;0,8526;1,016
4,543000;-0,0044;0,5643;0,8590;1,028
4,553000;-0,0151;0,5643;0,8634;1,032
4,572000;-0,0322;0,5673;0,8644;1,034
4,573000;-0,0391;0,5727;0,8468;1,023
4,628000;-0,0430;0,5746;0,8218;1,004
4,629000;-0,0420;0,5761;0,8077;0,993
4,630000;-0,0498;0,5692;0,8121;0,993
4,631000;-0,0567;0,5551;0,8477;1,015
4,631000;-0,0630;0,5409;0,9020;1,054
4,632000;-0,0630;0,5223;0,9606;1,095
4,642000;-0,0640;0,5106;1,0197;1,142
4,653000;-0,0816;0,5126;1,0828;1,201
4,672000;-0,0953;0,5277;1,1414;1,261
4,674000;-0,0743;0,5443;1,1277;1,254
4,716000;-0,0537;0,5463;1,0232;1,161
4,717000;-0,0406;0,5385;0,8971;1,047
4,718000;-0,0342;0,5380;0,7642;0,935
4,718000;-0,0347;0,5629;0,6787;0,882
4,723000;-0,0200;0,5922;0,7046;0,921
4,732000;0,0068;0,6059;0,8507;1,044
4,743000;0,0078;0,5922;1,0569;1,212
4,753000;-0,0210;0,5595;1,2504;1,370
4,773000;-0,0616;0,4891;1,4043;1,488
4,774000;-0,0938;0,3958;1,4893;1,544
4,817000;-0,1266;0,3186;1,4844;1,523
4,819000;-0,1886;0,2795;1,4023;1,442
4,820000;-0,2204;0,2927;1,2523;1,305
4,820000;-0,2233;0,3220;1,0515;1,122
4,822000;-0,2135;0,3528;0,8546;0,949
4,832000;-0,1793;0,3928;0,7173;0,837
4,843000;-0,1549;0,4280;0,6714;0,811
4,853000;-0,1417;0,4393;0,7178;0,853
4,873000;-0,1226;0,4202;0,7979;0,910
4,874000;-0,1163;0,3772;0,9220;1,003
4,928000;-0,1314;0,3342;1,0403;1,101
4,929000;-0,1349;0,2883;1,1199;1,164
4,930000;-0,1041;0,2658;1,1976;1,231
4,931000;-0,0743;0,2541;1,2206;1,249
4,932000;-0,0577;0,2477;1,1326;1,161
4,933000;-0,0420;0,2746;0,9806;1,019
4,943000;-0,0303;0,3068;0,8131;0,870
4,953000;-0,0274;0,3411;0,6801;0,761
4,974000;-0,0293;0,3694;0,5937;0,700
4,975000;-0,0537;0,3831;0,5375;0,662
5,027000;-0,0621;0,3909;0,5135;0,648
5,028000;-0,0987;0,3933;0,5140;0,655
5,029000;-0,1524;0,3860;0,5487;0,688
5,030000;-0,2042;0,3635;0,6205;0,748
5,032000;-0,2394;0,3450;0,6762;0,796
5,032000;-0,2595;0,3337;0,7207;0,836
5,043000;-0,2453;0,3459;0,7583;0,869
5,053000;-0,2057;0,3777;0,7627;0,876
5,073000;-0,1451;0,4124;0,7427;0,862
5,074000;-0,1055;0,4407;0,7056;0,839
5,126000;-0,1011;0,4691;0,6562;0,813
5,127000;-0,1353;0,4862;0,6313;0,808
5,128000;-0,1779;0,4881;0,6337;0,819
5,129000;-0,2003;0,4710;0,6762;0,848
5,129000;-0,2077;0,4500;0,7241;0,877
5,137000;-0,1950;0,4388;0,7632;0,902
5,143000;-0,1612;0,4456;0,8604;0,982
5,152000;-0,1109;0,4613;0,9504;1,062
5,175000;-0,0586;0,4759;0,9938;1,103
5,176000;-0,0327;0,4886;1,0061;1,119
5,226000;-0,0406;0,4935;0,9860;1,103
5,228000;-0,0640;0,4935;0,9665;1,087
5,228000;-0,0752;0,4979;0,9425;1,069
5,229000;-0,0694;0,5033;0,9039;1,037
5,231000;-0,0606;0,5091;0,8692;1,009
5,237000;-0,0391;0,5111;0,8433;0,987
5,243000;-0,0210;0,5072;0,8429;0,984
5,253000;-0,0005;0,5013;0,9044;1,034
5,274000;0,0396;0,4881;0,9894;1,104
5,275000;0,0914;0,4671;1,0759;1,177
5,318000;0,1388;0,4407;1,1482;1,238
5,319000;0,1769;0,4251;1,2049;1,290
5,320000;0,1705;0,4080;1,2210;1,299
5,320000;0,1373;0,3743;1,1453;1,213
5,322000;0,0826;0,3303;1,0491;1,103
5,332000;0,0288;0,2961;0,9772;1,022
5,342000;-0,0059;0,2800;0,9020;0,944
5,352000;-0,0435;0,2790;0,8233;0,870
5,362000;-0,0684;0,3064;0,7964;0,856
5,373000;-0,0513;0,3401;0,8614;0,928
5,420000;0,0176;0,3748;0,9953;1,064
5,421000;0,0967;0,4124;1,1282;1,205
5,422000;0,1490;0,4339;1,1820;1,268
5,423000;0,1622;0,4412;1,1297;1,224
5,424000;0,1266;0,4388;1,0178;1,116
5,433000;0,0640;0,4275;0,9215;1,018
5,443000;-0,0005;0,4031;0,8648;0,954
5,453000;-0,0269;0,3738;0,8429;0,922
5,463000;-0,0357;0,3362;0,8761;0,939
5,474000;-0,0347;0,3137;0,9362;0,988
5,519000;-0,0283;0,3039;0,9601;1,007
5,520000;-0,0327;0,3083;0,9772;1,025
5,520000;-0,0352;0,3225;1,0041;1,055
5,521000;-0,0015;0,3430;1,0373;1,093
5,522000;0,0342;0,3445;1,0852;1,139
5,533000;0,0596;0,3293;1,1541;1,202
5,543000;0,0748;0,3137;1,2000;1,243
